method,class,threshold,accuracy,accuracy_occluded,fidelity
CAM-GradCAM,0,0.0,0.9279100529100529,0.6071428571428571,0.3207671957671958
CAM-GradCAM,0,0.01,0.9279100529100529,0.5886243386243386,0.3392857142857143
CAM-GradCAM,0,0.05,0.9279100529100529,0.5740740740740741,0.35383597883597884
CAM-GradCAM,0,0.1,0.9279100529100529,0.5793650793650794,0.3485449735449735
CAM-GradCAM,1,0.0,0.9279100529100529,0.5416666666666666,0.3862433862433863
CAM-GradCAM,1,0.01,0.9279100529100529,0.5423280423280423,0.3855820105820106
CAM-GradCAM,1,0.05,0.9279100529100529,0.5436507936507936,0.3842592592592593
CAM-GradCAM,1,0.1,0.9279100529100529,0.5542328042328042,0.3736772486772487
EB,0,0.0,0.9279100529100529,0.5555555555555556,0.3723544973544973
EB,0,0.01,0.9279100529100529,0.5833333333333334,0.34457671957671954
EB,0,0.05,0.9279100529100529,0.6263227513227513,0.3015873015873016
EB,0,0.1,0.9279100529100529,0.6772486772486772,0.2506613756613757
EB,1,0.0,0.9279100529100529,0.542989417989418,0.3849206349206349
EB,1,0.01,0.9279100529100529,0.5191798941798942,0.4087301587301587
EB,1,0.05,0.9279100529100529,0.5972222222222222,0.3306878306878307
EB,1,0.1,0.9279100529100529,0.6693121693121693,0.2585978835978836
GradCAM-avg,0,0.0,0.9279100529100529,0.5443121693121693,0.3835978835978836
GradCAM-avg,0,0.01,0.9279100529100529,0.548941798941799,0.37896825396825395
GradCAM-avg,0,0.05,0.9279100529100529,0.5548941798941799,0.373015873015873
GradCAM-avg,0,0.1,0.9279100529100529,0.5515873015873016,0.3763227513227513
GradCAM-avg,1,0.0,0.9279100529100529,0.5403439153439153,0.38756613756613756
GradCAM-avg,1,0.01,0.9279100529100529,0.5416666666666666,0.3862433862433863
GradCAM-avg,1,0.05,0.9279100529100529,0.541005291005291,0.38690476190476186
GradCAM-avg,1,0.1,0.9279100529100529,0.5462962962962963,0.3816137566137566
Gradient,0,0.0,0.9279100529100529,0.542989417989418,0.3849206349206349
Gradient,0,0.01,0.9279100529100529,0.542989417989418,0.3849206349206349
Gradient,0,0.05,0.9279100529100529,0.5390211640211641,0.38888888888888884
Gradient,0,0.1,0.9279100529100529,0.533068783068783,0.3948412698412699
Gradient,1,0.0,0.9279100529100529,0.542989417989418,0.3849206349206349
Gradient,1,0.01,0.9279100529100529,0.542989417989418,0.3849206349206349
Gradient,1,0.05,0.9279100529100529,0.5317460317460317,0.39616402116402116
Gradient,1,0.1,0.9279100529100529,0.5198412698412699,0.408068783068783
cEB,0,0.0,0.9279100529100529,0.5674603174603174,0.36044973544973546
cEB,0,0.01,0.9279100529100529,0.6097883597883598,0.31812169312169314
cEB,0,0.05,0.9279100529100529,0.6818783068783069,0.24603174603174605
cEB,0,0.1,0.9279100529100529,0.7367724867724867,0.19113756613756616
cEB,1,0.0,0.9279100529100529,0.5403439153439153,0.38756613756613756
cEB,1,0.01,0.9279100529100529,0.5396825396825397,0.38822751322751325
cEB,1,0.05,0.9279100529100529,0.5806878306878307,0.3472222222222222
cEB,1,0.1,0.9279100529100529,0.6177248677248677,0.31018518518518523
