method,class,threshold,accuracy,accuracy_occluded,fidelity
CAM-GradCAM,0,0.0,0.9529180971064247,0.7616478666012751,0.19127023050514957
CAM-GradCAM,0,0.01,0.9529180971064247,0.7621383030897498,0.1907797940166749
CAM-GradCAM,0,0.05,0.9529180971064247,0.7601765571358509,0.19274153997057386
CAM-GradCAM,0,0.1,0.9529180971064247,0.7675331044629721,0.18538499264345265
CAM-GradCAM,1,0.0,0.9529180971064247,0.8062775870524767,0.14664051005394807
CAM-GradCAM,1,0.01,0.9529180971064247,0.8013732221677293,0.1515448749386954
CAM-GradCAM,1,0.05,0.9529180971064247,0.7449730259931339,0.20794507111329086
CAM-GradCAM,1,0.1,0.9529180971064247,0.7287886218734674,0.22412947523295734
EB,0,0.0,0.9529180971064247,0.7631191760666993,0.1897989210397254
EB,0,0.01,0.9529180971064247,0.7626287395782246,0.1902893575282001
EB,0,0.05,0.9529180971064247,0.8052967140755272,0.14762138303089756
EB,0,0.1,0.9529180971064247,0.8406081412457087,0.11230995586071602
EB,1,0.0,0.9529180971064247,0.7685139774399216,0.18440411966650316
EB,1,0.01,0.9529180971064247,0.7876410004904365,0.16527709661598822
EB,1,0.05,0.9529180971064247,0.7876410004904365,0.16527709661598822
EB,1,0.1,0.9529180971064247,0.8043158410985778,0.14860225600784693
GradCAM-avg,0,0.0,0.9529180971064247,0.7302599313388917,0.22265816576753306
GradCAM-avg,0,0.01,0.9529180971064247,0.7243746934771947,0.22854340362922998
GradCAM-avg,0,0.05,0.9529180971064247,0.7184894556154978,0.2344286414909269
GradCAM-avg,0,0.1,0.9529180971064247,0.7150564001961746,0.23786169691025016
GradCAM-avg,1,0.0,0.9529180971064247,0.8366846493379108,0.11623344776851396
GradCAM-avg,1,0.01,0.9529180971064247,0.8337420304070623,0.11917606669936243
GradCAM-avg,1,0.05,0.9529180971064247,0.8214811181951938,0.13143697891123096
GradCAM-avg,1,0.1,0.9529180971064247,0.8048062775870525,0.14811181951937225
Gradient,0,0.0,0.9529180971064247,0.7650809220205983,0.18783717508582642
Gradient,0,0.01,0.9529180971064247,0.7650809220205983,0.18783717508582642
Gradient,0,0.05,0.9529180971064247,0.7641000490436488,0.1888180480627759
Gradient,0,0.1,0.9529180971064247,0.7665522314860226,0.18636586562040214
Gradient,1,0.0,0.9529180971064247,0.7650809220205983,0.18783717508582642
Gradient,1,0.01,0.9529180971064247,0.7650809220205983,0.18783717508582642
Gradient,1,0.05,0.9529180971064247,0.7650809220205983,0.18783717508582642
Gradient,1,0.1,0.9529180971064247,0.7729279058361942,0.17999019127023053
cEB,0,0.0,0.9529180971064247,0.7709661598822952,0.1819519372241295
cEB,0,0.01,0.9529180971064247,0.7989210397253556,0.15399705738106917
cEB,0,0.05,0.9529180971064247,0.8420794507111329,0.11083864639529184
cEB,0,0.1,0.9529180971064247,0.8715056400196175,0.08141245708680722
cEB,1,0.0,0.9529180971064247,0.7685139774399216,0.18440411966650316
cEB,1,0.01,0.9529180971064247,0.7435017165277097,0.20941638057871503
cEB,1,0.05,0.9529180971064247,0.7439921530161844,0.20892594409024035
cEB,1,0.1,0.9529180971064247,0.7680235409514468,0.18489455615497796
