method,class,threshold,accuracy,accuracy_occluded,fidelity
CAM-GradCAM,0,0.0,0.9279100529100529,0.6071428571428571,0.3207671957671958
CAM-GradCAM,0,0.1,0.9279100529100529,0.5793650793650794,0.3485449735449735
CAM-GradCAM,0,0.2,0.9279100529100529,0.626984126984127,0.30092592592592593
CAM-GradCAM,0,0.30000000000000004,0.9279100529100529,0.6613756613756614,0.2665343915343915
CAM-GradCAM,0,0.4,0.9279100529100529,0.7076719576719577,0.22023809523809523
CAM-GradCAM,0,0.5,0.9279100529100529,0.7341269841269841,0.19378306878306883
CAM-GradCAM,0,0.6000000000000001,0.9279100529100529,0.7592592592592593,0.1686507936507936
CAM-GradCAM,0,0.7000000000000001,0.9279100529100529,0.7896825396825397,0.13822751322751325
CAM-GradCAM,0,0.8,0.9279100529100529,0.8148148148148148,0.11309523809523814
CAM-GradCAM,0,0.9,0.9279100529100529,0.832010582010582,0.09589947089947093
CAM-GradCAM,1,0.0,0.9279100529100529,0.5416666666666666,0.3862433862433863
CAM-GradCAM,1,0.1,0.9279100529100529,0.5542328042328042,0.3736772486772487
CAM-GradCAM,1,0.2,0.9279100529100529,0.5767195767195767,0.35119047619047616
CAM-GradCAM,1,0.30000000000000004,0.9279100529100529,0.628968253968254,0.29894179894179895
CAM-GradCAM,1,0.4,0.9279100529100529,0.6984126984126984,0.22949735449735453
CAM-GradCAM,1,0.5,0.9279100529100529,0.7493386243386243,0.1785714285714286
CAM-GradCAM,1,0.6000000000000001,0.9279100529100529,0.7870370370370371,0.14087301587301582
CAM-GradCAM,1,0.7000000000000001,0.9279100529100529,0.8068783068783069,0.12103174603174605
CAM-GradCAM,1,0.8,0.9279100529100529,0.8293650793650794,0.09854497354497349
CAM-GradCAM,1,0.9,0.9279100529100529,0.8465608465608465,0.0813492063492064
EB,0,0.0,0.9279100529100529,0.5555555555555556,0.3723544973544973
EB,0,0.1,0.9279100529100529,0.6772486772486772,0.2506613756613757
EB,0,0.2,0.9279100529100529,0.7374338624338624,0.19047619047619047
EB,0,0.30000000000000004,0.9279100529100529,0.7757936507936508,0.1521164021164021
EB,0,0.4,0.9279100529100529,0.8055555555555556,0.12235449735449733
EB,0,0.5,0.9279100529100529,0.8227513227513228,0.10515873015873012
EB,0,0.6000000000000001,0.9279100529100529,0.843915343915344,0.08399470899470896
EB,0,0.7000000000000001,0.9279100529100529,0.8564814814814815,0.0714285714285714
EB,0,0.8,0.9279100529100529,0.8597883597883598,0.06812169312169314
EB,0,0.9,0.9279100529100529,0.8683862433862434,0.059523809523809534
EB,1,0.0,0.9279100529100529,0.542989417989418,0.3849206349206349
EB,1,0.1,0.9279100529100529,0.6693121693121693,0.2585978835978836
EB,1,0.2,0.9279100529100529,0.718915343915344,0.20899470899470896
EB,1,0.30000000000000004,0.9279100529100529,0.7777777777777778,0.15013227513227512
EB,1,0.4,0.9279100529100529,0.8082010582010583,0.11970899470899465
EB,1,0.5,0.9279100529100529,0.830026455026455,0.0978835978835979
EB,1,0.6000000000000001,0.9279100529100529,0.8472222222222222,0.0806878306878307
EB,1,0.7000000000000001,0.9279100529100529,0.8650793650793651,0.06283068783068779
EB,1,0.8,0.9279100529100529,0.875,0.05291005291005291
EB,1,0.9,0.9279100529100529,0.8862433862433863,0.04166666666666663
GradCAM-avg,0,0.0,0.9279100529100529,0.5443121693121693,0.3835978835978836
GradCAM-avg,0,0.1,0.9279100529100529,0.5515873015873016,0.3763227513227513
GradCAM-avg,0,0.2,0.9279100529100529,0.5634920634920635,0.3644179894179894
