method,class,threshold,accuracy,accuracy_occluded,fidelity
CAM-GradCAM,0,0.0,0.9529180971064247,0.7616478666012751,0.19127023050514957
CAM-GradCAM,0,0.1,0.9529180971064247,0.7675331044629721,0.18538499264345265
CAM-GradCAM,0,0.2,0.9529180971064247,0.7861696910250122,0.1667484060814125
CAM-GradCAM,0,0.30000000000000004,0.9529180971064247,0.8087297694948504,0.1441883276115743
CAM-GradCAM,0,0.4,0.9529180971064247,0.8357037763609613,0.11721432074546345
CAM-GradCAM,0,0.5,0.9529180971064247,0.8656204021579206,0.08729769494850415
CAM-GradCAM,0,0.6000000000000001,0.9529180971064247,0.8881804806277587,0.06473761647866605
CAM-GradCAM,0,0.7000000000000001,0.9529180971064247,0.9038744482589505,0.04904364884747425
CAM-GradCAM,0,0.8,0.9529180971064247,0.9225110348209907,0.030407062285433994
CAM-GradCAM,0,0.9,0.9529180971064247,0.931338891613536,0.02157920549288872
CAM-GradCAM,1,0.0,0.9529180971064247,0.8062775870524767,0.14664051005394807
CAM-GradCAM,1,0.1,0.9529180971064247,0.7287886218734674,0.22412947523295734
CAM-GradCAM,1,0.2,0.9529180971064247,0.7096615988229524,0.2432564982834723
CAM-GradCAM,1,0.30000000000000004,0.9529180971064247,0.7037763609612555,0.2491417361451692
CAM-GradCAM,1,0.4,0.9529180971064247,0.7233938205002453,0.22952427660617947
CAM-GradCAM,1,0.5,0.9529180971064247,0.7425208435507602,0.21039725355566452
CAM-GradCAM,1,0.6000000000000001,0.9529180971064247,0.7596861206473762,0.19323197645904855
CAM-GradCAM,1,0.7000000000000001,0.9529180971064247,0.7812653261402648,0.17165277096615994
CAM-GradCAM,1,0.8,0.9529180971064247,0.8082393330063756,0.1446787641000491
CAM-GradCAM,1,0.9,0.9529180971064247,0.830308974987739,0.12260912211868569
EB,0,0.0,0.9529180971064247,0.7631191760666993,0.1897989210397254
EB,0,0.1,0.9529180971064247,0.8406081412457087,0.11230995586071602
EB,0,0.2,0.9529180971064247,0.8729769494850417,0.07994114762138305
