method,class,threshold,accuracy,accuracy_occluded,fidelity
CAM-GradCAM,0,0.0,0.6854005167958657,0.32897286821705424,0.35642764857881143
CAM-GradCAM,0,0.1,0.6854005167958657,0.3226744186046512,0.3627260981912145
CAM-GradCAM,0,0.2,0.6854005167958657,0.34593023255813954,0.3394702842377261
CAM-GradCAM,0,0.30000000000000004,0.6854005167958657,0.36401808785529716,0.3213824289405685
CAM-GradCAM,0,0.4,0.6854005167958657,0.3846899224806202,0.3007105943152455
CAM-GradCAM,0,0.5,0.6854005167958657,0.4022932816537468,0.2831072351421189
CAM-GradCAM,0,0.6000000000000001,0.6854005167958657,0.4231266149870801,0.26227390180878557
CAM-GradCAM,0,0.7000000000000001,0.6854005167958657,0.457687338501292,0.22771317829457366
CAM-GradCAM,0,0.8,0.6854005167958657,0.479812661498708,0.20558785529715767
CAM-GradCAM,0,0.9,0.6854005167958657,0.5022609819121447,0.18313953488372092
CAM-GradCAM,1,0.0,0.6854005167958657,0.8276808785529716,-0.1422803617571059
CAM-GradCAM,1,0.1,0.6854005167958657,0.8142764857881137,-0.12887596899224807
CAM-GradCAM,1,0.2,0.6854005167958657,0.8217054263565892,-0.1363049095607235
CAM-GradCAM,1,0.30000000000000004,0.6854005167958657,0.8186369509043928,-0.13323643410852715
CAM-GradCAM,1,0.4,0.6854005167958657,0.8078165374677002,-0.12241602067183455
CAM-GradCAM,1,0.5,0.6854005167958657,0.7952196382428941,-0.10981912144702843
CAM-GradCAM,1,0.6000000000000001,0.6854005167958657,0.7790697674418605,-0.09366925064599485
CAM-GradCAM,1,0.7000000000000001,0.6854005167958657,0.7651808785529716,-0.0797803617571059
CAM-GradCAM,1,0.8,0.6854005167958657,0.751937984496124,-0.06653746770025837
CAM-GradCAM,1,0.9,0.6854005167958657,0.7432170542635659,-0.05781653746770021
EB,0,0.0,0.6854005167958657,0.353843669250646,0.3315568475452197
EB,0,0.1,0.6854005167958657,0.4672157622739018,0.21818475452196384
EB,0,0.2,0.6854005167958657,0.4941860465116279,0.19121447028423777
EB,0,0.30000000000000004,0.6854005167958657,0.5174418604651163,0.16795865633074936
EB,0,0.4,0.6854005167958657,0.5322997416020672,0.1531007751937985
EB,0,0.5,0.6854005167958657,0.5457041343669251,0.13969638242894056
EB,0,0.6000000000000001,0.6854005167958657,0.5536175710594315,0.13178294573643412
EB,0,0.7000000000000001,0.6854005167958657,0.561046511627907,0.12435400516795869
EB,0,0.8,0.6854005167958657,0.5687984496124031,0.11660206718346255
EB,0,0.9,0.6854005167958657,0.5763888888888888,0.10901162790697683
EB,1,0.0,0.6854005167958657,0.4962855297157623,0.18911498708010338
EB,1,0.1,0.6854005167958657,0.6375968992248062,0.04780361757105944
EB,1,0.2,0.6854005167958657,0.6647286821705426,0.02067183462532307
EB,1,0.30000000000000004,0.6854005167958657,0.6941214470284238,-0.008720930232558155
EB,1,0.4,0.6854005167958657,0.7007428940568475,-0.015342377260981865
EB,1,0.5,0.6854005167958657,0.7038113695090439,-0.018410852713178216
EB,1,0.6000000000000001,0.6854005167958657,0.7031653746770026,-0.01776485788113691
EB,1,0.7000000000000001,0.6854005167958657,0.7013888888888888,-0.015988372093023173
EB,1,0.8,0.6854005167958657,0.6999354005167958,-0.014534883720930147
EB,1,0.9,0.6854005167958657,0.7041343669250646,-0.018733850129198926
GradCAM-avg,0,0.0,0.6854005167958657,0.30006459948320413,0.38533591731266154
GradCAM-avg,0,0.1,0.6854005167958657,0.32493540051679587,0.3604651162790698
GradCAM-avg,0,0.2,0.6854005167958657,0.32558139534883723,0.35981912144702843
GradCAM-avg,0,0.30000000000000004,0.6854005167958657,0.3305878552971576,0.35481266149870805
GradCAM-avg,0,0.4,0.6854005167958657,0.3391472868217054,0.34625322997416025
GradCAM-avg,0,0.5,0.6854005167958657,0.35707364341085274,0.32832687338501293
GradCAM-avg,0,0.6000000000000001,0.6854005167958657,0.3809754521963824,0.30442506459948326
GradCAM-avg,0,0.7000000000000001,0.6854005167958657,0.4087532299741602,0.2766472868217055
GradCAM-avg,0,0.8,0.6854005167958657,0.4442829457364341,0.24111757105943155
GradCAM-avg,0,0.9,0.6854005167958657,0.4780361757105943,0.20736434108527135
GradCAM-avg,1,0.0,0.6854005167958657,0.7060723514211886,-0.02067183462532296
GradCAM-avg,1,0.1,0.6854005167958657,0.7797157622739018,-0.09431524547803616
GradCAM-avg,1,0.2,0.6854005167958657,0.7950581395348837,-0.10965762273901802
GradCAM-avg,1,0.30000000000000004,0.6854005167958657,0.7895671834625323,-0.10416666666666663
GradCAM-avg,1,0.4,0.6854005167958657,0.7758397932816538,-0.09043927648578809
GradCAM-avg,1,0.5,0.6854005167958657,0.7630813953488372,-0.07768087855297157
GradCAM-avg,1,0.6000000000000001,0.6854005167958657,0.7412790697674418,-0.05587855297157618
GradCAM-avg,1,0.7000000000000001,0.6854005167958657,0.7248062015503876,-0.039405684754521886
GradCAM-avg,1,0.8,0.6854005167958657,0.7183462532299741,-0.032945736434108475
GradCAM-avg,1,0.9,0.6854005167958657,0.712532299741602,-0.02713178294573637
Gradient,0,0.0,0.6854005167958657,0.12806847545219638,0.5573320413436693
Gradient,0,0.1,0.6854005167958657,0.36708656330749356,0.3183139534883721
Gradient,0,0.2,0.6854005167958657,0.4418604651162791,0.2435400516795866
Gradient,0,0.30000000000000004,0.6854005167958657,0.4715762273901809,0.21382428940568476
Gradient,0,0.4,0.6854005167958657,0.49208656330749356,0.1933139534883721
Gradient,0,0.5,0.6854005167958657,0.4914405684754522,0.19395994832041347
Gradient,0,0.6000000000000001,0.6854005167958657,0.49660852713178294,0.18879198966408273
Gradient,0,0.7000000000000001,0.6854005167958657,0.5279392764857881,0.15746124031007758
Gradient,0,0.8,0.6854005167958657,0.5471576227390181,0.13824289405684753
Gradient,0,0.9,0.6854005167958657,0.5739664082687338,0.11143410852713187
Gradient,1,0.0,0.6854005167958657,0.12806847545219638,0.5573320413436693
Gradient,1,0.1,0.6854005167958657,0.41747416020671835,0.2679263565891473
Gradient,1,0.2,0.6854005167958657,0.48481912144702843,0.20058139534883723
Gradient,1,0.30000000000000004,0.6854005167958657,0.5061369509043928,0.17926356589147285
Gradient,1,0.4,0.6854005167958657,0.5214793281653747,0.163921188630491
Gradient,1,0.5,0.6854005167958657,0.5494186046511628,0.1359819121447029
Gradient,1,0.6000000000000001,0.6854005167958657,0.5854328165374677,0.09996770025839796
Gradient,1,0.7000000000000001,0.6854005167958657,0.6177325581395349,0.0676679586563308
Gradient,1,0.8,0.6854005167958657,0.6375968992248062,0.04780361757105944
Gradient,1,0.9,0.6854005167958657,0.6555232558139535,0.029877260981912124
cEB,0,0.0,0.6854005167958657,0.4407299741602067,0.24467054263565896
cEB,0,0.1,0.6854005167958657,0.4738372093023256,0.21156330749354008
cEB,0,0.2,0.6854005167958657,0.5032299741602068,0.1821705426356589
cEB,0,0.30000000000000004,0.6854005167958657,0.5229328165374677,0.16246770025839796
cEB,0,0.4,0.6854005167958657,0.5437661498708011,0.1416343669250646
cEB,0,0.5,0.6854005167958657,0.5623385012919897,0.12306201550387597
cEB,0,0.6000000000000001,0.6854005167958657,0.5773578811369509,0.10804263565891481
cEB,0,0.7000000000000001,0.6854005167958657,0.5907622739018088,0.09463824289405687
cEB,0,0.8,0.6854005167958657,0.6025516795865633,0.08284883720930236
cEB,0,0.9,0.6854005167958657,0.6136950904392765,0.07170542635658916
cEB,1,0.0,0.6854005167958657,0.7634043927648578,-0.07800387596899216
cEB,1,0.1,0.6854005167958657,0.6765180878552972,0.008882428940568454
cEB,1,0.2,0.6854005167958657,0.664405684754522,0.02099483204134367
cEB,1,0.30000000000000004,0.6854005167958657,0.662467700258398,0.022932816537467704
cEB,1,0.4,0.6854005167958657,0.6623062015503876,0.023094315245478114
cEB,1,0.5,0.6854005167958657,0.6655361757105943,0.019864341085271353
cEB,1,0.6000000000000001,0.6854005167958657,0.6621447028423773,0.023255813953488413
cEB,1,0.7000000000000001,0.6854005167958657,0.6631136950904393,0.022286821705426396
cEB,1,0.8,0.6854005167958657,0.662952196382429,0.022448320413436695
cEB,1,0.9,0.6854005167958657,0.6610142118863049,0.02438630490956073
